Timestamp,Latitude,Longitude,Altitude
17:11:35  8887,18.6360575,73.8711148,617.0
17:11:35  8459,18.6360585,73.8711128,617.0
17:11:35  8589,18.6360595,73.8711106,617.0
17:11:35  8663,18.6360605,73.8711085,617.0
17:11:35  8561,18.6360616,73.8711065,617.0
17:11:35  8411,18.6360626,73.8711045,618.0
17:11:36  8243,18.6360635,73.8711025,618.0
17:11:36  8019,18.6360643,73.8711003,618.0
17:11:36  7509,18.636065,73.8710985,618.0
17:11:36  7170,18.6360656,73.8710968,618.0
17:11:36  7272,18.6360665,73.8710948,618.0
17:11:36  7065,18.636067,73.871093,618.0
17:11:36  6583,18.6360673,73.8710911,618.0
17:11:36  6472,18.6360675,73.8710895,618.0
17:11:36  6293,18.636068,73.8710878,618.0
17:11:36  5909,18.6360681,73.8710863,618.0
17:11:37  6013,18.6360685,73.8710848,618.0
17:11:37  5852,18.6360688,73.8710833,618.0
17:11:37  5824,18.6360691,73.8710818,618.0
17:11:37  5728,18.6360693,73.8710805,618.0
17:11:37  5504,18.6360696,73.8710793,618.0
17:11:37  5528,18.63607,73.8710778,618.0
17:11:37  5959,18.6360703,73.8710763,618.0
17:11:37  5902,18.6360706,73.871075,618.0
17:11:37  6046,18.6360708,73.8710733,618.0
17:11:37  5846,18.636071,73.871072,618.0
17:11:38  6170,18.6360711,73.8710703,618.0
17:11:38  6302,18.6360713,73.8710686,618.0
17:11:38  6761,18.6360713,73.8710668,618.0
17:11:38  6993,18.6360715,73.8710651,618.0
17:11:38  7246,18.6360715,73.8710633,618.0
17:11:38  7285,18.6360713,73.8710615,618.0
17:11:38  7243,18.6360713,73.8710595,618.0
17:11:38  7572,18.6360713,73.8710576,618.0
17:11:38  7198,18.6360713,73.8710558,618.0
17:11:38  7311,18.6360711,73.871054,618.0
17:11:39  6965,18.636071,73.8710523,618.0
17:11:39  6381,18.6360708,73.8710508,618.0
17:11:39  6576,18.6360705,73.8710491,618.0
17:11:39  6006,18.6360703,73.8710478,618.0
17:11:39  6067,18.63607,73.8710463,618.0
17:11:39  5881,18.6360698,73.871045,618.0
17:11:39  5700,18.6360695,73.8710436,618.0
17:11:39  6009,18.636069,73.8710423,618.0
17:11:39  5904,18.6360685,73.871041,618.0
17:11:39  5470,18.6360681,73.8710396,618.0
17:11:40  5333,18.6360676,73.8710385,618.0
17:11:40  5104,18.6360675,73.8710371,618.0
17:11:40  5100,18.6360671,73.8710358,618.0
17:11:40  5407,18.6360668,73.8710345,618.0
17:11:40  5457,18.6360665,73.871033,618.0
17:11:40  5283,18.636066,73.8710316,618.0
17:11:40  5183,18.6360656,73.8710305,618.0
17:11:40  4930,18.6360653,73.8710293,618.0
17:11:40  6215,18.6360645,73.8710275,618.0
17:11:40  6659,18.6360638,73.871026,618.0
17:11:41  6420,18.636063,73.8710245,618.0
17:11:41  6230,18.6360623,73.8710231,618.0
17:11:41  6124,18.6360618,73.8710218,618.0
17:11:41  6569,18.636061,73.8710201,618.0
17:11:41  6576,18.6360601,73.8710188,618.0
17:11:41  6706,18.6360593,73.8710173,618.0
17:11:41  6882,18.6360583,73.8710158,618.0
17:11:41  6993,18.6360571,73.8710145,618.0
17:11:41  7348,18.6360561,73.8710131,618.0
17:11:41  7533,18.636055,73.8710116,618.0
17:11:42  7391,18.6360535,73.8710105,618.0
17:11:42  7465,18.6360521,73.8710091,618.0
17:11:42  8026,18.6360506,73.8710076,618.0
17:11:42  8471,18.636049,73.8710061,618.0
17:11:42  7824,18.6360476,73.8710048,618.0
17:11:42  7041,18.6360465,73.871004,618.0
17:11:42  7026,18.6360451,73.871003,618.0
17:11:42  6932,18.636044,73.8710018,618.0
17:11:42  7804,18.6360423,73.8710005,618.0
17:11:42  8183,18.6360408,73.8709991,618.0
17:11:43  7572,18.6360393,73.8709978,618.0
17:11:43  7628,18.6360378,73.8709965,618.0
17:11:43  8346,18.6360361,73.870995,618.0
17:11:43  7869,18.6360348,73.8709936,618.0
17:11:43  7774,18.6360331,73.8709926,618.0
